Fb,Original Material Name,MTC Item Name (ODOO),Keterangan,Penggunaan/bulan,Kontrak 3 bulan,Tanggal List,Qty,Product Category,Reason,URGENCY,Link Refferences,Vendor,Harga (diisi oleh procurement),Nomor PR,Status PR,,Status PA,Status PO,No PO,PO Approved ,ETA Foom,Link GR,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ONGOING,,,,,,,,,,
